epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,248.124,0.4092,0.31273,0.39174,0.85579,0.96682,0.98077,0.97977,0.88227,0.91663,0.93077,0.9225,0.72631,0.45789,1.19282,0.42822,0.85837,0.00061904,0.00061904,0.00061904
129,250.009,0.35206,0.30435,0.34178,0.8472,0.94641,0.98077,0.97612,0.87539,0.94641,0.98077,0.97828,0.72534,0.46767,1.1475,0.44093,0.8597,0.000610789,0.000610789,0.000610789
130,251.87,0.34185,0.2975,0.33095,0.84161,0.94093,0.98077,0.9736,0.87797,0.94093,0.98077,0.97495,0.73513,0.46202,1.13827,0.44397,0.86277,0.000602537,0.000602537,0.000602537
131,253.777,0.34908,0.2821,0.35023,0.85815,0.93509,0.98077,0.97228,0.86685,0.93509,0.98077,0.9739,0.7287,0.45782,1.14469,0.44998,0.85902,0.000594286,0.000594286,0.000594286
132,255.659,0.38527,0.29775,0.34878,0.86383,0.93647,0.96241,0.97507,0.86689,0.90487,0.93077,0.92832,0.74363,0.47176,1.17677,0.45488,0.85264,0.000586034,0.000586034,0.000586034
133,257.576,0.37808,0.30752,0.3771,0.85031,0.95704,0.96154,0.9787,0.86546,0.971,0.98016,0.97503,0.73791,0.47568,1.21973,0.44439,0.85512,0.000577782,0.000577782,0.000577782
134,259.476,0.38887,0.35208,0.39942,0.8558,0.95979,0.96154,0.9771,0.85957,0.96039,0.9678,0.97496,0.7228,0.48139,1.24626,0.443,0.85484,0.000569531,0.000569531,0.000569531
135,261.353,0.37494,0.29483,0.35557,0.84935,0.92431,0.97462,0.96484,0.84811,0.92431,0.97462,0.97148,0.72747,0.47148,1.2246,0.44785,0.85537,0.000561279,0.000561279,0.000561279
136,263.252,0.39681,0.29461,0.37889,0.86556,0.92743,0.98077,0.97322,0.87742,0.92743,0.98077,0.98031,0.73976,0.43301,1.13038,0.42037,0.85328,0.000553027,0.000553027,0.000553027
137,265.159,0.36044,0.28588,0.35817,0.84171,0.92867,0.98077,0.97263,0.88489,0.92867,0.98077,0.97999,0.75611,0.41672,1.11166,0.40386,0.85007,0.000544776,0.000544776,0.000544776
138,267.102,0.37333,0.27704,0.35273,0.83586,0.92497,0.95478,0.97326,0.88501,0.92497,0.95478,0.98148,0.7718,0.43236,1.092,0.40972,0.85268,0.000536524,0.000536524,0.000536524
139,269.031,0.35592,0.28941,0.34849,0.84794,0.91614,0.94874,0.97392,0.88077,0.91614,0.94874,0.97989,0.76953,0.45821,1.09996,0.42319,0.85778,0.000528272,0.000528272,0.000528272
140,270.941,0.35013,0.27552,0.33575,0.85042,0.91177,0.96352,0.97573,0.87781,0.91177,0.96352,0.97864,0.75565,0.4636,1.12285,0.42181,0.85509,0.000520021,0.000520021,0.000520021
141,272.832,0.36285,0.30996,0.34373,0.84794,0.94923,0.93753,0.97701,0.8793,0.94923,0.93753,0.97738,0.74914,0.45413,1.11891,0.42176,0.85324,0.000511769,0.000511769,0.000511769
142,274.698,0.32832,0.24689,0.32207,0.8356,0.96769,0.96154,0.9757,0.88533,0.96769,0.96154,0.9757,0.73559,0.44142,1.12339,0.43363,0.852,0.000503517,0.000503517,0.000503517
143,276.584,0.32912,0.25941,0.31047,0.84457,0.96486,0.96311,0.977,0.88821,0.96486,0.96311,0.977,0.71255,0.43287,1.17592,0.42167,0.85022,0.000495266,0.000495266,0.000495266
144,278.551,0.33921,0.29196,0.32038,0.84388,0.94175,0.9713,0.97778,0.89059,0.94175,0.9713,0.97778,0.70301,0.42817,1.26935,0.40691,0.85698,0.000487014,0.000487014,0.000487014
145,280.573,0.36298,0.27465,0.35954,0.86262,0.93256,0.98077,0.97778,0.89049,0.93256,0.98077,0.97778,0.70151,0.42001,1.29016,0.40608,0.85713,0.000478762,0.000478762,0.000478762
146,282.536,0.34012,0.27183,0.338,0.84347,0.9352,0.97238,0.97854,0.89398,0.9352,0.97238,0.97854,0.70668,0.42595,1.28408,0.40012,0.85521,0.000470511,0.000470511,0.000470511
147,284.527,0.35498,0.28961,0.3335,0.83314,0.94496,0.96778,0.98201,0.89635,0.94496,0.96778,0.98201,0.71433,0.437,1.27035,0.40512,0.85251,0.000462259,0.000462259,0.000462259
148,286.451,0.34373,0.25287,0.32278,0.85005,0.96655,0.9773,0.98749,0.91389,0.96655,0.9773,0.98749,0.73639,0.41579,1.19477,0.37825,0.84289,0.000454007,0.000454007,0.000454007
149,288.43,0.34201,0.2719,0.33395,0.83729,0.97012,0.98077,0.99008,0.93043,0.97012,0.98077,0.99008,0.73811,0.39811,1.14869,0.36193,0.8388,0.000445756,0.000445756,0.000445756
150,290.391,0.32613,0.26855,0.30576,0.83075,0.96803,0.98077,0.98874,0.92934,0.96803,0.98077,0.98874,0.73277,0.38502,1.09256,0.35714,0.83647,0.000437504,0.000437504,0.000437504
151,292.295,0.31079,0.27976,0.31603,0.84689,0.95168,0.98077,0.98882,0.91919,0.95168,0.98077,0.98882,0.72434,0.39034,1.02706,0.36874,0.84113,0.000429253,0.000429253,0.000429253
152,294.213,0.34108,0.25406,0.3299,0.84553,0.92016,0.99052,0.98486,0.91244,0.96799,0.96006,0.98672,0.73648,0.41984,0.96872,0.37921,0.85187,0.000421001,0.000421001,0.000421001
153,296.097,0.34326,0.26254,0.33647,0.84404,0.94331,0.94622,0.98486,0.91552,0.95896,0.96987,0.98672,0.74934,0.4048,0.93472,0.37872,0.8461,0.000412749,0.000412749,0.000412749
154,297.994,0.34306,0.33343,0.38983,0.853,0.94732,0.94231,0.98369,0.92194,0.95972,0.95572,0.98466,0.75559,0.38816,0.9373,0.36192,0.83993,0.000404498,0.000404498,0.000404498
155,299.928,0.35557,0.3087,0.3504,0.8438,0.95993,0.94231,0.984,0.91687,0.95993,0.94231,0.984,0.75745,0.38196,0.96785,0.3548,0.83699,0.000396246,0.000396246,0.000396246
156,301.845,0.33038,0.27825,0.35128,0.84877,0.95467,0.94644,0.97754,0.89412,0.95467,0.94644,0.97754,0.74541,0.40529,0.9758,0.37394,0.83679,0.000387994,0.000387994,0.000387994
157,303.719,0.3451,0.31299,0.35049,0.84023,0.97247,0.95666,0.97898,0.88184,0.97247,0.95666,0.97898,0.74258,0.40337,0.97092,0.37718,0.8305,0.000379743,0.000379743,0.000379743
158,305.605,0.31862,0.2736,0.33053,0.84168,0.94718,0.98133,0.98047,0.89037,0.94718,0.98133,0.98047,0.74894,0.39729,0.97152,0.38411,0.82458,0.000371491,0.000371491,0.000371491
159,307.465,0.32534,0.26224,0.32501,0.82935,0.95558,0.98712,0.98222,0.90765,0.95558,0.98712,0.98222,0.75127,0.38064,1.00825,0.39165,0.81549,0.000363239,0.000363239,0.000363239
160,309.374,0.32046,0.26404,0.30342,0.85379,0.88609,1,0.97768,0.91628,0.88609,1,0.97768,0.73385,0.36778,1.04093,0.39241,0.80984,0.000354988,0.000354988,0.000354988
161,311.26,0.31686,0.24911,0.31804,0.85149,0.88934,0.96665,0.97768,0.91175,0.88934,0.96665,0.97768,0.73339,0.37007,1.09984,0.40468,0.812,0.000346736,0.000346736,0.000346736
162,313.154,0.33901,0.26116,0.33837,0.84574,0.92936,0.9581,0.98222,0.9133,0.92936,0.9581,0.98222,0.74415,0.36181,1.10114,0.39023,0.81165,0.000338484,0.000338484,0.000338484
163,315.162,0.30219,0.23932,0.28438,0.84371,0.94979,0.96154,0.9787,0.90759,0.94979,0.96154,0.9787,0.72239,0.3503,1.08533,0.38837,0.8062,0.000330233,0.000330233,0.000330233
164,317.052,0.30411,0.25557,0.29115,0.84422,0.93674,0.9983,0.97753,0.90816,0.93674,0.9983,0.97753,0.73375,0.35472,1.12507,0.38662,0.80095,0.000321981,0.000321981,0.000321981
165,318.946,0.31721,0.28046,0.30299,0.83668,0.93218,0.99472,0.98148,0.90973,0.93218,0.99472,0.98148,0.72269,0.37281,1.12575,0.38504,0.80346,0.000313729,0.000313729,0.000313729
166,320.851,0.33268,0.24869,0.31194,0.85039,0.96254,1,0.98148,0.90845,0.96254,1,0.98148,0.7341,0.38195,1.11206,0.38906,0.80784,0.000305478,0.000305478,0.000305478
167,322.742,0.319,0.22889,0.28709,0.8667,0.92131,1,0.97768,0.90622,0.92131,1,0.97768,0.74391,0.38782,1.10027,0.3869,0.81027,0.000297226,0.000297226,0.000297226
168,324.65,0.32243,0.28773,0.31874,0.8504,0.95817,0.99362,0.98019,0.90683,0.95817,0.99362,0.98019,0.77014,0.36825,1.03708,0.38471,0.806,0.000288974,0.000288974,0.000288974
169,326.511,0.3037,0.25411,0.32724,0.84965,0.96358,1,0.97944,0.90561,0.96358,1,0.97944,0.75446,0.36926,1.01446,0.37966,0.80292,0.000280723,0.000280723,0.000280723
170,328.401,0.29299,0.21389,0.3058,0.86836,0.96272,0.99519,0.9787,0.88473,0.96272,0.99519,0.9787,0.72684,0.38186,1.00981,0.38476,0.81134,0.000272471,0.000272471,0.000272471
171,330.324,0.29498,0.23033,0.30737,0.8391,0.96515,0.99162,0.97796,0.87968,0.96515,0.99162,0.97796,0.73694,0.41075,1.01339,0.37878,0.8378,0.00026422,0.00026422,0.00026422
172,332.226,0.34928,0.30157,0.31414,0.84692,0.97039,0.98724,0.97796,0.87644,0.97039,0.98724,0.97796,0.72781,0.43093,1.00428,0.38306,0.85393,0.000255968,0.000255968,0.000255968
173,334.123,0.27653,0.236,0.28453,0.8095,0.97215,0.99284,0.97796,0.87449,0.97215,0.99284,0.97796,0.7303,0.42887,0.98216,0.38407,0.85331,0.000247716,0.000247716,0.000247716
174,336.04,0.30393,0.22789,0.29749,0.84916,0.96638,0.98077,0.97758,0.87818,0.96638,0.98077,0.97758,0.7401,0.42755,0.97799,0.3847,0.85302,0.000239465,0.000239465,0.000239465
175,337.942,0.28256,0.22851,0.28083,0.84458,0.96146,0.98077,0.97758,0.88717,0.96146,0.98077,0.97758,0.73262,0.42832,0.99223,0.38549,0.85603,0.000231213,0.000231213,0.000231213
176,339.847,0.32383,0.2703,0.3247,0.84487,0.94821,1,0.97758,0.88823,0.94821,1,0.97758,0.75976,0.41323,0.98357,0.37476,0.84643,0.000222961,0.000222961,0.000222961
177,341.753,0.29598,0.26718,0.31665,0.82766,0.94242,0.99661,0.9763,0.88468,0.94242,0.99661,0.9763,0.76671,0.40961,0.98511,0.37262,0.84466,0.00021471,0.00021471,0.00021471
178,343.635,0.3081,0.29019,0.30211,0.85015,0.95475,1,0.97796,0.88371,0.95475,1,0.97796,0.76222,0.41463,0.98782,0.36958,0.85101,0.000206458,0.000206458,0.000206458
179,345.508,0.27441,0.22161,0.29902,0.81824,0.9636,1,0.97796,0.89065,0.9636,1,0.97796,0.76166,0.41189,0.97151,0.36321,0.85218,0.000198206,0.000198206,0.000198206
180,347.385,0.31192,0.23402,0.29861,0.86198,0.96289,0.99621,0.97944,0.89867,0.96289,0.99621,0.97944,0.75867,0.40769,0.95127,0.36007,0.84729,0.000189955,0.000189955,0.000189955
181,349.286,0.30059,0.23482,0.2957,0.85326,0.96411,0.98689,0.98019,0.8952,0.96411,0.98689,0.98019,0.75731,0.40696,0.94213,0.35506,0.84613,0.000181703,0.000181703,0.000181703
182,351.188,0.29619,0.2262,0.29041,0.82517,0.9589,0.98587,0.98019,0.89545,0.9589,0.98587,0.98019,0.75983,0.40495,0.93786,0.36048,0.84264,0.000173451,0.000173451,0.000173451
183,353.067,0.2914,0.25608,0.31723,0.83256,0.95143,0.98519,0.97944,0.89486,0.95143,0.98519,0.97944,0.76332,0.40532,0.94299,0.35904,0.84306,0.0001652,0.0001652,0.0001652
184,354.945,0.28051,0.22811,0.27162,0.84214,0.95829,0.96946,0.98019,0.90048,0.95829,0.96946,0.98019,0.76795,0.40031,0.95646,0.36256,0.84399,0.000156948,0.000156948,0.000156948
185,356.834,0.26587,0.23787,0.28145,0.8331,0.96429,0.96494,0.98019,0.90632,0.96429,0.96494,0.98019,0.76983,0.39953,0.96384,0.36205,0.8434,0.000148696,0.000148696,0.000148696
186,358.723,0.28267,0.22547,0.29008,0.8197,0.96344,0.96548,0.97944,0.90037,0.96344,0.96548,0.97944,0.7718,0.39659,0.96612,0.36297,0.84528,0.000140445,0.000140445,0.000140445
187,360.593,0.31051,0.23967,0.29255,0.84278,0.96409,0.96651,0.9787,0.89913,0.96409,0.96651,0.9787,0.76416,0.39269,0.96973,0.36324,0.84513,0.000132193,0.000132193,0.000132193
188,362.483,0.28696,0.25541,0.28073,0.82681,0.95076,0.98019,0.9787,0.90053,0.95076,0.98019,0.9787,0.75434,0.38847,0.98049,0.3671,0.84878,0.000123941,0.000123941,0.000123941
189,364.368,0.28684,0.21221,0.27697,0.82981,0.9513,0.98518,0.97796,0.89885,0.9513,0.98518,0.97796,0.75892,0.38574,0.99024,0.36391,0.84681,0.00011569,0.00011569,0.00011569
190,366.282,0.25309,0.20993,0.28223,0.82121,0.95087,0.98486,0.9787,0.89979,0.95087,0.98486,0.9787,0.75985,0.38638,0.99835,0.36302,0.84775,0.000107438,0.000107438,0.000107438
191,388.316,0.21815,0.17871,0.25755,0.80733,0.95067,0.98215,0.97944,0.88972,0.95067,0.98215,0.97944,0.76012,0.38904,1.01064,0.36103,0.84823,9.91865e-05,9.91865e-05,9.91865e-05
192,390.576,0.22837,0.17928,0.23701,0.82305,0.94824,1,0.97796,0.88946,0.94824,1,0.97796,0.75493,0.38801,1.03604,0.36323,0.84957,9.09349e-05,9.09349e-05,9.09349e-05
193,392.623,0.22276,0.16892,0.24151,0.82198,0.94243,1,0.97796,0.89407,0.94243,1,0.97796,0.74774,0.38637,1.04225,0.36446,0.85021,8.26832e-05,8.26832e-05,8.26832e-05
194,394.605,0.22946,0.20282,0.24189,0.79223,0.9449,1,0.98019,0.89641,0.9449,1,0.98019,0.74743,0.38368,1.04581,0.36394,0.84936,7.44316e-05,7.44316e-05,7.44316e-05
195,396.588,0.24028,0.17409,0.26746,0.80392,0.9497,1,0.97944,0.89377,0.9497,1,0.97944,0.74352,0.38271,1.05411,0.36394,0.84995,6.61799e-05,6.61799e-05,6.61799e-05
196,398.544,0.22934,0.18116,0.25074,0.81685,0.95562,0.99953,0.98019,0.89743,0.95562,0.99953,0.98019,0.74604,0.38121,1.05347,0.35564,0.85149,5.79283e-05,5.79283e-05,5.79283e-05
197,400.461,0.24779,0.18414,0.23837,0.80017,0.95667,1,0.98019,0.89886,0.95667,1,0.98019,0.74455,0.38106,1.05917,0.36006,0.85151,4.96766e-05,4.96766e-05,4.96766e-05
198,402.365,0.21538,0.17059,0.24299,0.79224,0.95654,1,0.98019,0.89853,0.95654,1,0.98019,0.74221,0.38598,1.06004,0.35981,0.85159,4.1425e-05,4.1425e-05,4.1425e-05
199,404.214,0.22266,0.17015,0.23559,0.79038,0.9577,0.99972,0.98093,0.89945,0.9577,0.99972,0.98093,0.74319,0.3888,1.06039,0.35766,0.85165,3.31733e-05,3.31733e-05,3.31733e-05
200,406.105,0.2186,0.17375,0.22342,0.79406,0.95984,0.99928,0.98148,0.89997,0.95984,0.99928,0.98148,0.74372,0.38994,1.06235,0.35399,0.85124,2.49217e-05,2.49217e-05,2.49217e-05
