epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,59.4931,0.65654,0.62114,0.70778,0.94702,0.63249,0.54676,0.57039,0.4515,0.62309,0.57308,0.57434,0.29013,1.01461,2.84407,5.39408,1.31511,0.00143595,0.00143595,0.00143595
30,61.4421,0.73358,0.6546,0.80234,0.96037,0.22309,0.42692,0.37463,0.30865,0.22309,0.42692,0.37387,0.23484,0.9599,2.83107,12.7546,1.25105,0.0014277,0.0014277,0.0014277
31,63.3622,0.67892,0.60672,0.69677,0.94652,0.29275,0.42692,0.33182,0.2687,0.29275,0.42692,0.332,0.23304,0.84792,2.3738,116.789,1.14322,0.00141945,0.00141945,0.00141945
32,65.2864,0.66449,0.55497,0.69942,0.94167,0.3689,0.53615,0.38927,0.306,0.3668,0.51691,0.37053,0.25675,0.85594,2.06162,17.4424,1.06157,0.0014112,0.0014112,0.0014112
33,67.1992,0.6797,0.54779,0.65828,0.93079,0.76378,0.80973,0.86761,0.69799,0.7407,0.79128,0.81184,0.48249,0.78331,1.81156,1.69067,0.95547,0.00140295,0.00140295,0.00140295
34,69.0911,0.63495,0.58027,0.75456,0.94342,0.58683,0.88681,0.85729,0.67658,0.56781,0.85385,0.77391,0.39463,0.748,2.30433,1.11579,0.89903,0.0013947,0.0013947,0.0013947
35,70.9883,0.69528,0.55432,0.70222,0.94088,0.82176,0.55385,0.80907,0.64768,0.82176,0.55385,0.74682,0.36314,0.78621,2.28403,1.46685,0.92592,0.00138644,0.00138644,0.00138644
36,72.905,0.65864,0.66985,0.66959,0.94392,0.36514,0.78802,0.63951,0.51592,0.37624,0.78846,0.64788,0.37856,0.99164,1.89436,2.11374,1.27223,0.00137819,0.00137819,0.00137819
37,74.8116,0.61646,0.60424,0.64438,0.92868,0.47208,0.71154,0.60255,0.49719,0.47208,0.71154,0.58383,0.38317,0.90793,1.81545,1.95462,1.17156,0.00136994,0.00136994,0.00136994
38,76.693,0.65925,0.56846,0.68475,0.95829,0.60727,0.60748,0.57042,0.45437,0.55813,0.58825,0.53043,0.33426,0.99987,1.97075,1.89092,1.18543,0.00136169,0.00136169,0.00136169
39,78.6126,0.61151,0.65113,0.63719,0.90319,0.73917,0.50528,0.66439,0.50963,0.68374,0.48661,0.59353,0.3696,1.06133,1.86022,1.69413,1.18347,0.00135344,0.00135344,0.00135344
40,80.5017,0.63686,0.57604,0.58618,0.96057,0.8691,0.58775,0.79482,0.67937,0.8691,0.58775,0.78714,0.51811,0.68045,1.24803,1.41068,0.92714,0.00134519,0.00134519,0.00134519
41,82.4165,0.6708,0.57698,0.63771,0.94578,0.66021,0.71076,0.82495,0.71258,0.66021,0.71076,0.82968,0.58902,0.6954,1.25667,1.48996,0.94684,0.00133693,0.00133693,0.00133693
42,84.4464,0.61086,0.49659,0.63088,0.93445,0.69155,0.72649,0.84705,0.74484,0.57212,0.82716,0.81914,0.56159,0.67759,1.45329,1.43621,0.93617,0.00132868,0.00132868,0.00132868
43,86.3437,0.64603,0.58521,0.64762,0.94347,0.65647,0.87308,0.8147,0.70462,0.63658,0.85385,0.77983,0.52097,0.66598,1.51653,1.22121,0.92504,0.00132043,0.00132043,0.00132043
44,88.3063,0.65298,0.57011,0.64719,0.93549,0.80634,0.86648,0.90322,0.76485,0.80372,0.92057,0.91547,0.62061,0.63647,1.39707,1.30133,0.91022,0.00131218,0.00131218,0.00131218
